name start duration label
interaction-1.mkv 28 70 talk
interaction-1.mkv 116 47 talk
interaction-1.mkv 174 55 talk
interaction-1.mkv 240 44 talk
interaction-1.mkv 307 68 talk
interaction-1.mkv 388 58 talk
interaction-1.mkv 458 12 talk
interaction-3.mkv 4 54 talk
interaction-3.mkv 72 63 talk
interaction-3.mkv 150 59 talk
interaction-3.mkv 269 37 talk
interaction-3.mkv 338 45 talk
interaction-3.mkv 415 73 talk
interaction-3.mkv 519 54 talk
interaction-4.mkv 29 28 talk
interaction-4.mkv 73 30 talk
interaction-4.mkv 117 33 talk
interaction-4.mkv 167 30 talk
interaction-4.mkv 213 36 talk
interaction-4.mkv 260 34 talk
interaction-4.mkv 659 57 talk
interaction-5.mkv 18 54 talk
interaction-5.mkv 87 56 talk
interaction-5.mkv 168 50 talk
interaction-5.mkv 241 69 talk
interaction-6.mkv 19 54 talk
interaction-6.mkv 95 35 talk
interaction-6.mkv 142 58 talk
interaction-6.mkv 225 46 talk
interaction-6.mkv 291 59 talk
interaction-6.mkv 370 45 talk
interaction-6.mkv 434 50 talk
interaction-6.mkv 546 44 talk
interaction-6.mkv 606 79 talk
interaction-6.mkv 696 110 talk
interaction-6.mkv 823 71 talk
interaction-6.mkv 911 195 talk
interaction-6.mkv 1128 81 talk
interaction-6.mkv 1225 81 talk
interaction-7.mkv 5 28 talk
interaction-7.mkv 45 34 talk
interaction-7.mkv 90 31 talk
interaction-7.mkv 139 33 talk
interaction-7.mkv 253 97 talk
interaction-7.mkv 368 46 talk
interaction-7.mkv 428 35 talk
interaction-7.mkv 519 74 talk
interaction-8.mkv 22 19 talk
interaction-8.mkv 57 10 talk
interaction-8.mkv 93 12 talk
interaction-8.mkv 189 43 talk
interaction-8.mkv 242 42 talk
interaction-8.mkv 348 40 talk
